Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,279.0,279.0,276.5,278.0,171.2564697265625,365552
2018-01-03,279.0,279.0,276.0,277.0,170.6404266357422,863681
2018-01-04,278.0,278.0,271.0,271.0,166.9442596435547,1712792
2018-01-05,271.5,273.5,269.5,272.0,167.56027221679688,1105104
2018-01-08,273.5,275.0,272.0,274.0,168.7923583984375,771326
2018-01-09,272.5,272.5,262.0,262.5,161.70799255371094,3520165
2018-01-10,260.0,264.0,258.5,264.0,162.6320343017578,2432842
2018-01-11,264.0,265.5,263.5,265.5,163.55609130859375,1309232
2018-01-12,266.0,267.0,264.0,266.0,163.86410522460938,880223
2018-01-15,266.5,268.5,265.0,268.0,165.09616088867188,1060416
2018-01-16,269.5,272.5,266.0,271.0,166.9442596435547,1634744
2018-01-17,272.5,278.0,271.0,276.0,170.0244140625,2384675
2018-01-18,279.0,280.0,277.5,279.5,172.18052673339844,2226097
2018-01-19,279.0,280.5,278.0,280.5,172.7965545654297,923810
2018-01-22,280.5,283.0,280.5,283.0,174.33663940429688,1842112
2018-01-23,283.0,284.0,279.0,281.5,173.41259765625,1559770
2018-01-24,281.0,281.0,276.5,280.5,172.7965545654297,1377114
2018-01-25,279.0,282.0,279.0,281.0,173.10459899902344,1498104
2018-01-26,279.5,281.0,278.5,281.0,173.10459899902344,1032363
2018-01-29,281.0,282.0,279.5,282.0,173.72059631347656,854279
2018-01-30,280.0,282.0,278.5,282.0,173.72059631347656,939715
2018-01-31,280.0,282.0,280.0,281.0,173.10459899902344,1124648
2018-02-01,279.0,283.0,279.0,283.0,174.33663940429688,1133689
2018-02-02,279.0,282.5,276.5,282.5,174.0286102294922,1938812
2018-02-05,275.0,278.5,274.5,276.5,170.33241271972656,2263883
2018-02-06,271.0,273.0,266.0,270.0,166.32823181152344,3713400
2018-02-07,270.0,271.0,265.0,267.5,164.78814697265625,3129366
2018-02-08,271.0,274.0,270.0,274.0,168.7923583984375,1719907
2018-02-09,269.5,271.5,267.0,271.5,167.2522735595703,1774268
2018-02-12,271.5,271.5,268.0,270.0,166.32823181152344,1790244
2018-02-21,273.0,273.5,270.0,271.0,166.9442596435547,1866791
2018-02-22,268.0,272.5,268.0,272.0,167.56027221679688,1953893
2018-02-23,273.0,274.5,272.5,274.5,169.100341796875,1300699
2018-02-26,275.5,276.0,270.5,272.0,167.56027221679688,1595298
2018-02-27,275.0,278.5,273.0,277.0,170.6404266357422,2345976
2018-03-01,272.5,277.0,272.0,273.0,168.17633056640625,1288612
2018-03-02,271.0,273.0,262.0,271.5,167.2522735595703,2398966
2018-03-05,272.0,274.0,269.0,270.0,166.32823181152344,1702500
2018-03-06,272.0,272.0,268.5,268.5,165.40419006347656,688666
2018-03-07,269.5,273.5,269.5,272.0,167.56027221679688,1442733
2018-03-08,274.5,274.5,270.5,273.0,168.17633056640625,783404
2018-03-09,273.0,273.0,269.0,269.5,166.02020263671875,894129
2018-03-12,271.5,273.0,269.5,273.0,168.17633056640625,1656255
2018-03-13,272.5,277.5,272.5,276.5,170.33241271972656,1137998
2018-03-14,274.5,276.0,274.0,274.0,168.7923583984375,487354
2018-03-15,274.0,277.5,274.0,275.0,169.40838623046875,779897
2018-03-16,277.5,279.0,275.0,276.0,170.0244140625,2009095
2018-03-19,276.0,278.0,275.0,277.5,170.9484405517578,394556
2018-03-20,277.0,277.0,274.0,274.0,168.7923583984375,507870
2018-03-21,277.0,280.0,274.5,278.0,171.2564697265625,1406935
2018-03-22,278.5,280.0,277.5,277.5,170.9484405517578,692403
2018-03-23,269.0,272.5,269.0,270.5,166.63623046875,1769175
2018-03-26,270.0,272.0,270.0,272.0,167.56027221679688,785513
2018-03-27,272.0,275.0,272.0,274.5,169.100341796875,1346430
2018-03-28,272.0,275.0,272.0,274.5,169.100341796875,647797
2018-03-29,273.5,273.5,271.0,271.5,167.2522735595703,895561
2018-03-30,272.0,275.5,272.0,274.5,169.100341796875,757801
2018-04-02,277.0,277.5,273.0,275.0,169.40838623046875,391191
2018-04-03,274.0,275.0,272.0,274.5,169.100341796875,916440
2018-04-09,277.0,279.0,274.5,278.0,171.2564697265625,1197646
2018-04-10,274.5,279.5,274.5,277.5,170.9484405517578,1136834
2018-04-11,280.0,280.0,276.5,277.5,170.9484405517578,1107016
2018-04-12,277.5,278.5,277.0,278.0,171.2564697265625,704076
2018-04-13,280.0,282.0,279.0,281.5,173.41259765625,1297081
2018-04-16,280.0,280.0,276.5,276.5,170.33241271972656,966883
2018-04-17,276.0,276.5,272.0,273.5,168.4843292236328,1596312
2018-04-18,273.5,277.0,273.5,277.0,170.6404266357422,716055
2018-04-19,277.0,280.0,277.0,279.5,172.18052673339844,986794
2018-04-20,277.5,280.0,277.0,279.0,171.87249755859375,632729
2018-04-23,279.0,279.0,275.5,276.5,170.33241271972656,588225
2018-04-24,278.0,280.0,275.5,279.0,171.87249755859375,748589
2018-04-25,279.0,281.0,276.0,281.0,173.10459899902344,1410116
2018-04-26,281.0,281.0,277.0,279.5,172.18052673339844,1289396
2018-04-27,278.5,279.5,277.0,278.5,171.56446838378906,1062986
2018-04-30,276.0,278.0,273.0,278.0,171.2564697265625,1818397
2018-05-02,277.5,280.0,276.5,279.0,171.87249755859375,1619068
2018-05-03,276.0,280.5,275.5,280.0,172.48854064941406,1511968
2018-05-04,276.0,278.5,276.0,276.0,170.0244140625,950166
2018-05-07,279.0,279.0,274.5,275.0,169.40838623046875,712172
2018-05-08,278.5,280.5,277.0,280.0,172.48854064941406,1652685
